wäre;byłbym|
hätte;miałbym|
wenn;gdy|
Ich würde Pizza essen;Zjadłbym pizzę|
Wir würden ein Auto kaufen;Kupilibyśmy samochód|
Wir würden ins Kino gehen;Poszlibyśmy do kina|
Wenn wir Geld hätten, würden wir ein Auto kaufen;Gdybyśmy mieli pieniądze, kupilibyśmy samochód|
Wenn ich Zeit hätte, würde ich mit dir ins Kino gehen;Gdybym miał czas, poszedłbym z tobą do kina|
Wenn sie gesund wäre, würde sie ans Meer fähren;Gdyby była zdrowa, pojechałaby nad morze|
Wenn ich nicht krank wäre, würde ich in die Schüle gehen;Gdybym nie był chory, poszedłbym do szkoły|
Wenn wir Lust hätten, würden wir ins Kino gehen;Gdybyśmy mieli ochotę poszlibyśmy do kina|
Wenn wir Zeit hätten, würden wir mehr Bücher lesen;Gdybyśmy mieli czas, przeczytalibyśmy więcej książek|
Was würdest du machen, wenn du Geld hättest?;Co byś zrobił gdybyś miał dużo pieniądzy?|
Wenn ich sportlich wäre, würde ich ski fähren;Gdybym był wysportowany, jeździłym na nartach|
